date,open,high,low,close,volume
2010-06-07 00:00:00+00:00,-32957.8,-32524.170000000002,-33359.09,-32877.38,35939.0
2010-06-08 00:00:00+00:00,-32872.47,-32468.28,-33225.83,-32687.8,37604.0
2010-06-09 00:00:00+00:00,-32712.8,-32098.5,-33894.47,-33093.86,61254.0
2010-06-10 00:00:00+00:00,-33130.92,-32254.28,-33728.27,-32745.47,46848.0
2010-06-11 00:00:00+00:00,-32758.079999999998,-32184.39,-33426.9,-32962.39,31528.0
2010-06-13 00:00:00+00:00,-32979.83,-32862.16,-33229.38,-33072.229999999996,912.0
2010-06-14 00:00:00+00:00,-33097.12,-32839.81,-33652.93,-33205.08,38598.0
2010-06-15 00:00:00+00:00,-33194.479999999996,-32910.4,-33973.64,-33435.100000000006,39141.0
2010-06-16 00:00:00+00:00,-33434.990000000005,-33328.68,-33948.72,-33697.64,27792.0
2010-06-17 00:00:00+00:00,-33705.45,-33238.26,-34105.3,-33579.56,30890.0
2010-06-18 00:00:00+00:00,-33574.759999999995,-33350.9,-33918.04,-33775.85,30177.0
2010-06-20 00:00:00+00:00,-33952.53,-33742.92,-34110.11,-33850.07,837.0
2010-06-21 00:00:00+00:00,-33874.740000000005,-33461.25,-34419.73,-33826.51,34144.0
2010-06-22 00:00:00+00:00,-33823.61,-33475.95,-34274.82,-33755.18,23606.0
2010-06-23 00:00:00+00:00,-33715.78,-33464.22,-34079.92,-33735.83,25755.0
2010-06-24 00:00:00+00:00,-33740.41,-33270.53,-33982.729999999996,-33546.26,25931.0
2010-06-25 00:00:00+00:00,-33539.45,-33447.17,-33780.96,-33656.520000000004,22464.0
2010-06-27 00:00:00+00:00,-33607.3,-33444.8,-33680.62,-33529.85,211.0
2010-06-28 00:00:00+00:00,-33510.32,-33183.869999999995,-33949.009999999995,-33445.62,25614.0
2010-06-29 00:00:00+00:00,-33475.53,-32742.6,-33646.95,-33146.62,21971.0
2010-06-30 00:00:00+00:00,-33146.62,-32432.559999999998,-34383.54,-33253.89,10069.0
2010-07-01 00:00:00+00:00,-33162.04,-32674.760000000002,-33440.66,-33121.69,5854.0
