"time","symbol","open","high","low","close","volume"
"2010-09-02 00:00:00+00","ZS.c.0","1003.5","1008","999.5","1007.5",528
"2010-09-03 00:00:00+00","ZS.c.0","1008.5","1033.25","1008","1029.5",771
"2010-09-06 00:00:00+00","ZS.c.0","1029.25","1032.75","1029.25","1032.75",6
"2010-09-07 00:00:00+00","ZS.c.0","1031.25","1044","1024.75","1043.5",715
"2010-09-08 00:00:00+00","ZS.c.0","1042.25","1049","1040.25","1041.5",404
"2010-09-09 00:00:00+00","ZS.c.0","1036.25","1039.75","1030.75","1037.25",277
"2010-09-10 00:00:00+00","ZS.c.0","1025","1031","1022.25","1024.5",335
"2010-09-12 00:00:00+00","ZS.c.0","1021","1021","1020.5","1020.5",6
"2010-09-14 00:00:00+00","ZS.c.0","1026.75","1030.5","1018","1024.75",303
"2010-09-15 00:00:00+00","ZS.c.0","1035.75","1045","1035.25","1044.25",49754
"2010-09-16 00:00:00+00","ZS.c.0","1044.25","1046.5","1033","1040",46040
"2010-09-17 00:00:00+00","ZS.c.0","1040","1072","1039.75","1069.5",94219
"2010-09-19 00:00:00+00","ZS.c.0","1069","1082","1068.25","1082",5888
"2010-09-20 00:00:00+00","ZS.c.0","1081.75","1099.5","1081.5","1083.5",93165
"2010-09-21 00:00:00+00","ZS.c.0","1084","1093.75","1079.25","1084.75",67689
"2010-09-22 00:00:00+00","ZS.c.0","1084.75","1092.75","1081.75","1090",54277
"2010-09-23 00:00:00+00","ZS.c.0","1089.75","1098.25","1079.5","1090.25",67710
"2010-09-24 00:00:00+00","ZS.c.0","1090.25","1128.25","1090","1124.25",101487
"2010-09-26 00:00:00+00","ZS.c.0","1126","1143.75","1126","1143",8087
"2010-09-27 00:00:00+00","ZS.c.0","1143","1144","1122","1126",81955
"2010-09-28 00:00:00+00","ZS.c.0","1125.75","1135.5","1105.5","1107.25",69088
"2010-09-29 00:00:00+00","ZS.c.0","1107.25","1110","1083.5","1097.5",90649
"2010-09-30 00:00:00+00","ZS.c.0","1097.5","1109.75","1082.25","1102.5",91988
"2010-10-01 00:00:00+00","ZS.c.0","1102.75","1105","1055","1056",122177
"2010-10-03 00:00:00+00","ZS.c.0","1055","1055.75","1047","1051",6109
"2010-10-04 00:00:00+00","ZS.c.0","1051.25","1061.5","1042","1051.75",88623
"2010-10-05 00:00:00+00","ZS.c.0","1051.75","1077.75","1049.75","1073",81260
"2010-10-06 00:00:00+00","ZS.c.0","1072.75","1075.25","1061","1062",53975
"2010-10-07 00:00:00+00","ZS.c.0","1062","1074.5","1062","1062.75",85751
"2010-10-08 00:00:00+00","ZS.c.0","1063","1135","1063","1135",41098
"2010-10-10 00:00:00+00","ZS.c.0","1155","1184.75","1154.75","1172.75",23134
"2010-10-11 00:00:00+00","ZS.c.0","1173","1188.75","1150.75","1165",155128
"2010-10-12 00:00:00+00","ZS.c.0","1165","1185.75","1155.25","1176.75",118718
"2010-10-13 00:00:00+00","ZS.c.0","1177","1194.75","1172","1180",135035
"2010-10-14 00:00:00+00","ZS.c.0","1180.25","1199.5","1180","1196.75",99891
"2010-10-15 00:00:00+00","ZS.c.0","1196.5","1204.25","1183.5","1184.75",81836
"2010-10-17 00:00:00+00","ZS.c.0","1182","1187","1176","1183.25",5916
"2010-10-18 00:00:00+00","ZS.c.0","1183.25","1188","1175","1185.5",88338
"2010-10-19 00:00:00+00","ZS.c.0","1185.5","1195","1165.5","1176.5",106471
"2010-10-20 00:00:00+00","ZS.c.0","1176.25","1218.75","1173.75","1218.5",114703
"2010-10-21 00:00:00+00","ZS.c.0","1218.75","1223.5","1201.5","1205.5",106084
"2010-10-22 00:00:00+00","ZS.c.0","1206.5","1212.5","1198.75","1199",89786
"2010-10-24 00:00:00+00","ZS.c.0","1202.5","1207.25","1199","1206.5",3317
"2010-10-25 00:00:00+00","ZS.c.0","1206.25","1223.5","1205.5","1218.5",102542
"2010-10-26 00:00:00+00","ZS.c.0","1218.75","1229","1208.25","1227.25",70832
"2010-10-27 00:00:00+00","ZS.c.0","1227.25","1227.25","1199","1222.5",79854
"2010-10-28 00:00:00+00","ZS.c.0","1222","1236.75","1218","1225.75",68180
